start_date,end_date,open_price,high_price,low_price,close_price,volume,market_cap,daily_return,volatility,market_trend,moving_avg_7,crash_flag,market_cap_growth
2024-03-09,2024-03-10,3889.7214,3948.8374,3888.2514,3922.039,28234929441.5331,470829221073.5157,0.8308461372066471,1.557592273832254,Bullish,3932.9808571428575,Normal,-0.2683794884213442
2024-03-08,2024-03-09,3877.8076,3993.3391,3844.0819,3894.9458,31443856716.763065,471804831393.9408,0.4419559134393328,3.8490099405653857,Bullish,3953.8011,Normal,0.20721108137695676
2024-03-07,2024-03-08,3825.5887,3935.9855,3747.3215,3871.5942,36303801550.452965,459429052528.3972,1.2025730837191206,4.931633136620248,Bullish,3951.1168428571427,Normal,-2.6230716690584743
2024-03-06,2024-03-07,3561.7433,3897.5136,3511.8428,3828.5982,65334878536.79791,452570501214.9582,7.49225526724511,10.828146991951956,Bullish,3924.051314285714,Normal,-1.4928423171530092
2024-03-05,2024-03-06,3634.0364,3820.7597,3371.5388,3568.8763,46819957537.74737,439895581457.5439,-1.7930502842514195,12.36148597741069,Bearish,3864.895985714286,Normal,-2.8006508871849967
2024-03-04,2024-03-05,3498.8305,3643.7974,3472.8237,3635.9353,25816553469.0,424869505147.5018,3.918589368647611,4.886595678184468,Bullish,3802.4402142857143,Normal,-3.415827969959351
2024-03-03,2024-03-04,3432.504,3501.2329,3396.4347,3498.5838,16299914909.303137,414306161157.8258,1.9251193880618924,3.053112246919455,Bullish,3745.7960857142857,Normal,-2.4862561002133354
2024-03-02,2024-03-03,3439.5805,3465.5743,3413.0334,3432.7063,19683483285.63763,412506608406.6585,-0.1998557672948838,1.5275380238956586,Bearish,3675.8914142857143,Normal,-0.4343533647045539
2024-03-01,2024-03-02,3347.3371,3455.7838,3347.3371,3443.7937,31180734859.74216,409941446388.885,2.8815920571608986,3.2397902201125777,Bullish,3611.4411142857143,Normal,-0.6218474966211196
2024-02-29,2024-03-01,3382.0145,3518.9963,3312.4522,3352.4294,47452741624.52962,412730072016.7805,-0.8747774440352114,6.107132302360017,Bearish,3537.2747142857147,Normal,0.6802497411423358
2024-02-28,2024-02-29,3248.3363,3480.5369,3239.5579,3384.5946,30562577565.26481,398090927686.0662,4.1947103814343345,7.418536067216941,Bullish,3473.8456285714283,Normal,-3.546905186525662
2024-02-27,2024-02-28,3181.7246,3288.7675,3172.4334,3247.6036,30298112730.045296,389455446473.1429,2.0705437547926024,3.656322109085118,Bullish,3427.949528571429,Normal,-2.169223313657942
2024-02-26,2024-02-27,3111.1108,3198.4281,3045.6985,3181.2966,22535983213.341465,374864149962.25433,2.2559723684543864,4.909166205202339,Bullish,3363.0011428571424,Normal,-3.746589409141765
2024-02-25,2024-02-26,3002.0591,3118.2668,2995.7615,3116.6889,15293885853.898954,366691756027.6621,3.8183725297080313,4.080709137271808,Bullish,3308.444728571428,Normal,-2.180094825129353
2024-02-24,2024-02-25,2929.9059,3008.5953,2916.317,2999.7237,15642677136.08014,356516681868.8885,2.382936598748779,3.1495311846022065,Bullish,3246.5900714285713,Normal,-2.7748303558823517
2024-02-23,2024-02-24,2975.2429,2995.8998,2917.4241,2933.4655,21874670149.494774,354623730514.93726,-1.4041677067778364,2.63762330127735,Bearish,3173.6860428571426,Normal,-0.530957301641044
2024-02-22,2024-02-23,2966.6962,3033.2268,2914.9236,2976.6605,25167939532.26829,357466391574.6725,0.3358719372748748,3.987708616743428,Bullish,3120.0047714285715,Normal,0.8015992205618883
2024-02-21,2024-02-22,3016.9065,3019.1744,2889.5476,2979.378,26361613659.055748,353887767742.1951,-1.2439397773845458,4.296679396593829,Bearish,3062.1166857142857,Normal,-1.0011077731568507
2024-02-20,2024-02-21,2954.8817,3026.2876,2892.1928,3018.271,22327755664.529617,353847628614.95123,2.1452398585026358,4.5380767697062225,Bullish,3029.3548857142855,Normal,-0.011342332485797524
2024-02-19,2024-02-20,2889.2776,2987.9941,2872.9477,2949.559,17499642240.529617,351110983418.3519,2.086383115281145,3.981839612780708,Bullish,2996.2495142857147,Normal,-0.7733965060925274
2024-02-18,2024-02-19,2799.8852,2902.5219,2781.7234,2885.0803,13290934981.20906,339170555010.1812,3.042806897939955,4.314409033627533,Bullish,2963.1625714285715,Normal,-3.4007561631712258
2024-02-17,2024-02-18,2811.4698,2813.5999,2736.6692,2800.9727,15941577206.052263,335254980614.4564,-0.3733669840593716,2.736316072112898,Bearish,2934.7695714285715,Normal,-1.154455874156668
2024-02-16,2024-02-17,2832.5108,2862.7309,2774.6702,2814.5881,20277716111.853657,339213493140.4146,-0.6327495732761224,3.108927245749601,Bearish,2917.7870857142857,Normal,1.1807468210324634
2024-02-15,2024-02-16,2784.5215,2867.7119,2775.4192,2830.3882,20182399805.3554,337987621112.9721,1.6472022212793127,3.3144904788847915,Bullish,2896.891042857143,Normal,-0.36138657577959865
2024-02-14,2024-02-15,2647.8073,2791.7027,2633.0642,2785.6156,18386226736.23693,326797392771.88153,5.204619686636567,5.991315908827656,Bullish,2869.2107,Normal,-3.310839700058199
2024-02-13,2024-02-14,2672.7136,2692.1905,2609.1512,2651.6868,20612895019.29965,319145077879.8989,-0.7867210313892253,3.106928478981076,Bearish,2816.8415285714286,Normal,-2.3416083057076986
2024-02-12,2024-02-13,2514.0675,2670.1845,2481.6362,2665.8713,11554966027.174215,305929276731.1464,6.038175188215896,7.499731013586546,Bullish,2776.3147142857138,Normal,-4.1410010884535335
2024-02-11,2024-02-12,2506.405,2550.7067,2504.1662,2513.697,10127308481.752611,303284991361.2892,0.29093462548949256,1.856862717717211,Bullish,2723.2599571428573,Normal,-0.8643453147444524
2024-02-10,2024-02-11,2500.1485,2524.6597,2486.2405,2508.1581,14142539283.320557,301449607250.53656,0.3203649703207757,1.5366767214027597,Bullish,2681.4293,Normal,-0.6051681299870881
2024-02-09,2024-02-10,2433.1705,2529.0123,2430.7901,2496.3297,15129231226.439024,298526079407.7143,2.595757264030597,4.036798900857942,Bullish,2635.9638142857143,Normal,-0.9698230724157209
